Product_Name,Stars,Ratings,Reviews,CurrentPrice,MRP,Processor,RAM,Storage,ImageURL
HP 14s Intel Core i3 11th Gen,4.2,2693,231,₹36490,₹47279,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/4/v/9/-original-imagp7pfeutcgxrn.jpeg?q=70
HP Core i3 11th Gen,4.1,124,12,₹35990,₹44253,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/9/v/w/245-g8-business-laptop-hp-original-imagn4bctguugysg.jpeg?q=70
HP Core i3 11th Gen,0,0,0,₹48490,₹54552,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/j/e/b/-original-imagjmg8epq9thxq.jpeg?q=70
HP 15s Core i3 11th Gen,4.3,561,71,₹46999,₹51333,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kl5hh8w0/computer/c/j/8/hp-original-imagyckn3hqfgp4y.jpeg?q=70
HP Ryzen 3 Quad Core 5300U,4.3,2314,290,₹38990,₹47716,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/l/t/z/-original-imagp8xzjxx7tzet.jpeg?q=70
HP 15s (2023) Intel Core i3 12th Gen,0,0,0,₹40990,₹51266,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/d/l/q/-original-imagphhh4syr7qrg.jpeg?q=70
HP Core i3 11th Gen,4.1,124,12,₹35990,₹44253,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/9/v/w/245-g8-business-laptop-hp-original-imagn4bctguugysg.jpeg?q=70
HP Laptop with Backlit Keyboard Core i3 11th Gen,4.4,254,22,₹39990,₹51724,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/l/z/u/15s-fr2512tu-laptop-hp-original-imaggmeygbtemggf.jpeg?q=70
HP Ryzen 3 Quad Core 7320U,4.1,7,1,₹39990,₹47207,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/9/w/i/-original-imagp8xysbhygbp8.jpeg?q=70
HP Laptop Ryzen 3 Quad Core 5300U,4.3,66,10,₹37990,₹48419,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/d/p/b/-original-imagp8xz9yxjfurj.jpeg?q=70
MSI Ryzen 5 Hexa Core 7530U,4.4,60,9,₹42990,₹61990,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/f/p/e/-original-imagnqmwkz8nfwth.jpeg?q=70
MSI Core i5 11th Gen,4.1,67,14,₹42990,₹59990,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/r/2/n/modern-14-c11m-031in-thin-and-light-laptop-msi-original-imagnjymxrnuxtwt.jpeg?q=70
HP Core i3 11th Gen,4.8,4,2,₹43490,₹53990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/4/p/q/-original-imagp8xzzpsxvpgx.jpeg?q=70
HP Ryzen 5 Quad Core R5 5500,0,0,0,₹42990,₹48146,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/9/v/w/245-g8-business-laptop-hp-original-imagn4bctguugysg.jpeg?q=70
HP 15s Core i3 11th Gen,4.4,12,0,₹43150,₹45410,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/g/i/2/laptop-hp-15s-fq2670tu-laptop-hp-original-imagjmgbdgahch5f.jpeg?q=70
HP Intel Core i3 11th Gen,4.2,214,16,₹43990,₹58174,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/ktketu80/computer/r/f/r/14-dy0050tu-thin-and-light-laptop-hp-original-imag6w29bs32mq2j.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,0,0,0,₹43790,₹49631,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/s/7/4/-original-imagp8xzmyz8jyua.jpeg?q=70
HP Chromebook (2023) MediaTek Kompanio 1200,0,0,0,₹43990,₹47267,MediaTek MediaTek Kompanio 1200 Processor,8 GB LPDDR4X RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/c/p/p/13b-ca0006mu-thin-and-light-laptop-hp-original-imagzyavzxwvddgw.jpeg?q=70
HP 15s Intel Core i3 11th Gen,4.1,296,20,₹44900,₹53900,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/n/i/l/-original-imagp8xzgkazpzv3.jpeg?q=70
HP Core i3 11th Gen,4,4,0,₹40499,₹51812,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/t/q/f/-original-imagp8xzhxcrysub.jpeg?q=70
MSI Core i3 12th Gen,0,0,0,₹42990,₹54990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/k/h/a/-original-imagnqmwbbxzm8tp.jpeg?q=70
HP Core i3 11th Gen,0,0,0,₹42990,₹45410,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/9/z/c/15s-fq2670tu-thin-and-light-laptop-hp-original-imagkzp3qhqfqfsx.jpeg?q=70
HP Core i3 11th Gen,4.3,1379,142,₹41200,₹49149,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kdoup3k0/computer/e/v/p/hp-original-imafujjhdwjjh9j8.jpeg?q=70
HP 15s Ryzen 3 Quad Core 5300U,4.3,290,43,₹44999,₹52900,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/i/n/9/-original-imagp8xzevzkrnhq.jpeg?q=70
HP 14s Intel Core i3 11th Gen,4.3,674,67,₹44500,₹52900,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/g/z/2/-original-imagp7pfx6qc6dgs.jpeg?q=70
HP Ryzen 3 Dual Core 3250U,4.3,3998,409,₹40000,₹46055,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/ktaeqvk0/computer/b/7/4/15s-gy0501au-thin-and-light-laptop-hp-original-imag6z6muntqnzzc.jpeg?q=70
HP 15s Intel Core i3 11th Gen,4.3,722,65,₹43800,₹50892,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kyt0ya80/computer/s/z/b/-original-imagayc6ahrmg8y7.jpeg?q=70
HP 15s Intel Core i3 11th Gen,4.1,5254,512,₹41700,₹48933,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/1/q/r/-original-imagp7pfaahdfnur.jpeg?q=70
HP Core i3 11th Gen,4.3,1316,110,₹38500,₹45590,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kyt0ya80/computer/l/c/3/-original-imagaybuzkt95gmf.jpeg?q=70
HP G9 Ryzen 5 Dual Core AMD Ryzen5,0,0,0,₹42490,₹52251,AMD Ryzen 5 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/c/f/q/255-g9-business-laptop-hp-original-imagzr8yrykfz3gj.jpeg?q=70
HP Intel Core i3 11th Gen,4.4,5499,578,₹40000,₹46571,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/b/w/w/-original-imagp7pfyd8rbp6z.jpeg?q=70
HP Core i3 11th Gen,4.2,20,0,₹43500,₹48500,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/l0zm64w0/computer/2/a/h/255-g8-laptop-hp-original-imagcnk9gvmqvhaq.jpeg?q=70
HP 14s Intel Core i3 11th Gen,4.2,2693,231,₹36490,₹47279,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/4/v/9/-original-imagp7pfeutcgxrn.jpeg?q=70
HP Celeron Dual Core,3.9,374,34,₹29490,₹36965,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/3/h/8/-original-imagp7pfhjzh6c8z.jpeg?q=70
HP 250 G8 Core i3 11th Gen,4,98,9,₹34990,₹41208,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/9/v/w/245-g8-business-laptop-hp-original-imagn4bctguugysg.jpeg?q=70
HP Ryzen 3 Quad Core 5300U,4.2,2330,257,₹38490,₹47147,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/x/u/6/-original-imagp7pfd65hfses.jpeg?q=70
MSI Core i3 12th Gen,0,0,0,₹39990,₹57990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/k/h/a/-original-imagnqmwbbxzm8tp.jpeg?q=70
HP G Series Core i3 10th Gen,4.3,203,14,₹39990,₹44072,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kolsscw0/computer/s/x/d/250-g8-thin-and-light-laptop-hp-original-imag3f4kmcvnhkz9.jpeg?q=70
HP Core i3 11th Gen,0,0,0,₹38999,₹41600,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/v/h/z/15s-fq2738tu-laptop-hp-original-imagzu7dr64z6haf.jpeg?q=70
HP Core i3 11th Gen,4.4,13,1,₹34490,₹41868,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kxaq7ww0/computer/7/r/f/hp-250-g8-notebook-pc-laptop-hp-original-imag9s2agwzzznau.jpeg?q=70
HP Core i3 11th Gen,0,0,0,₹39990,₹54051,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/s/l/k/hp-laptop-15s-du3595tu-intel-core-i3-1125g4-8gb-ram-256gb-ssd-original-imagmemfezehb4xh.jpeg?q=70
HP 15s (2023) Ryzen 3 Quad Core 7320U,0,0,0,₹39990,₹47716,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/c/w/5/-original-imagpecqk6gdp9dh.jpeg?q=70
HP Core i3 11th Gen,3.5,22,5,₹36650,₹43763,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l1pc3gw0/computer/u/x/c/hp-240-notebook-hp-original-imagd7bzvn4e2mhx.jpeg?q=70
HP G8 Ryzen 3 Dual Core 3250U,3.6,68,6,₹31999,₹41610,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/kyag87k0/computer/t/9/o/hp-245-g8-business-laptop-hp-original-imagajx7mhrfhgsq.jpeg?q=70
HP Core i3 10th Gen,3.9,49,5,₹39643,0,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/ke0a7ww0/computer/9/u/k/hp-250-g7-business-laptop-original-imafuskbuzwyx4mg.jpeg?q=70
HP Ryzen 3 Dual Core 3250U,4.3,3998,409,₹36999,₹46052,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/n/s/m/-original-imagp8xz44khnqw2.jpeg?q=70
HP G8 Core i3 11th Gen,4.2,152,5,₹39749,₹49999,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/x/t/x/notebook-laptop-hp-original-imagjdywrx9g8yph.jpeg?q=70
HP 15s Intel Core i3 11th Gen,4.4,86,11,₹38550,₹48399,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/c/1/y/-original-imagp7pgfzfhavj7.jpeg?q=70
HP 15s Ryzen 3 Dual Core 3200U,4.4,783,151,₹38000,₹38500,AMD Ryzen 3 Dual Core Processor,4 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/k5fn3ww0/computer/9/n/g/hp-na-original-imafz4duahdyw5rn.jpeg?q=70
HP Ryzen 3 Dual Core 3250U,4.1,1371,136,₹33999,₹43631,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/1/y/s/-original-imagp8xzdm3andcg.jpeg?q=70
HP 14s Intel Core i3 11th Gen,4.3,3059,323,₹38999,₹48933,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/l0zm64w0/computer/k/h/m/14s-dq2606tu-thin-and-light-laptop-hp-original-imagcnsfnrzvzbs6.jpeg?q=70
HP Core i3 11th Gen,4.7,7,0,₹36500,₹44253,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l0zm64w0/computer/2/a/h/255-g8-laptop-hp-original-imagcnk9gvmqvhaq.jpeg?q=70
HP 247 G8 Ryzen 5 Dual Core AMD Ryzen 5 3500U,0,0,0,₹34899,₹63426,AMD Ryzen 5 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/w/1/2/245-g8-notebook-hp-original-imagnyeszwpsmabc.jpeg?q=70
HP 15s Core i3 11th Gen,4,2436,302,₹38800,₹46805,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/kjlrb0w0/computer/c/7/y/hp-original-imafz4uychtxgbwh.jpeg?q=70
HP Ryzen 3 Dual Core,0,0,0,₹36800,₹44900,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/ky4qgsw0/computer/j/f/5/240-g8-laptop-hp-original-imagaffva46zgucg.jpeg?q=70
APPLE 2020 Macbook Air M1,4.7,9937,865,₹79990,₹99900,Apple M1 Processor,8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kp5sya80/screen-guard/tempered-glass/o/v/n/apple-macbook-air-m1-13-3-inch-lightwings-original-imag3gh5xftgbpg3.jpeg?q=70
HP 247 G8 Athlon Dual Core,3.7,50,4,₹23890,₹33267,AMD Athlon Dual Core Processor,8 GB DDR4 RAM,1 TB HDD,https://rukminim1.flixcart.com/image/312/312/l0jwbrk0/computer/e/k/r/240-g8-laptop-hp-original-imagcbgcgnqwenzx.jpeg?q=70
HP Victus Core i5 11th Gen,4.1,162,17,₹58990,₹84419,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kwv0djk0/computer/2/u/m/16-e0162ax-gaming-laptop-hp-original-imag9g7ytxnpfvxh.jpeg?q=70
APPLE 2020 Macbook Air M1,4.7,9937,865,₹79990,₹99900,Apple M1 Processor,8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/khdqnbk0/computer/f/y/t/apple-original-imafxfyqydgvrkzv.jpeg?q=70
HP 15s (2023) Ryzen 3 Dual Core 3250U,4.1,1371,136,₹32990,₹39995,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kyrlifk0/computer/a/q/f/15s-eq2143au-thin-and-light-laptop-hp-original-imagaxg6jbj5zhhy.jpeg?q=70
MSI Bravo 15 Ryzen 7 Octa Core 5800H,4.6,65,14,₹59990,₹72990,AMD Ryzen 7 Octa Core Processor,16 GB DDR RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/b/j/7/bravo-15-b5ed-notebook-msi-original-imagz3rya2qqbhjt.jpeg?q=70
HP 15s Intel Core i5 12th Gen,4.3,1616,114,₹55990,₹70235,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/j/y/9/-original-imagp7pfaztvgxv3.jpeg?q=70
APPLE 2022 MacBook AIR M2,4.8,78,10,₹110490,₹119900,Apple M2 Processor,8 GB Unified Memory RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/v/c/a/-original-imagfdfpnjjpdhq2.jpeg?q=70
APPLE 2020 Macbook Air M1,4.7,9937,865,₹79990,₹99900,Apple M1 Processor,8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kruyw7k0/computer/v/x/v/na-thin-and-light-laptop-apple-original-imag5jt7u9fzenqb.jpeg?q=70
HP Victus Core i5 12th Gen,4.3,724,55,₹62890,₹74829,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l5bd5zk0/computer/o/l/w/15-fa0353tx-gaming-laptop-hp-original-imaggytdx6zpv6qg.jpeg?q=70
MSI Core i7 11th Gen,4.3,444,39,₹71990,₹89990,Intel Core i7 Processor (11th Gen),16 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/l/t/g/gf63-thin-11uc-867in-gaming-laptop-msi-original-imageyk5hzuthuyf.jpeg?q=70
HP Pavilion (2023) Eyesafe Ryzen 5 Hexa Core 5625U,4.4,406,52,₹57990,₹69083,AMD Ryzen 5 Hexa Core Processor,16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/r/q/b/-original-imagp7pfjb8utket.jpeg?q=70
APPLE 2022 MacBook AIR M2,4.6,86,6,₹110490,₹119900,Apple M2 Processor,8 GB Unified Memory RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/m/b/n/-original-imagfdf4xnbyyxpa.jpeg?q=70
MSI Core i5 11th Gen,4.3,440,37,₹64990,₹81990,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l2qhjm80/computer/l/t/g/gf63-thin-11uc-867in-gaming-laptop-msi-original-imageyk5hzuthuyf.jpeg?q=70
HP Pavilion Intel Core i5 12th Gen,4.3,585,51,₹66800,₹77142,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/3/x/d/-original-imagp7pfqwvb2hhf.jpeg?q=70
HP Pavilion Ryzen 5 Hexa Core 5625U,4.3,338,42,₹52990,₹61023,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/f/1/z/-original-imagp7pfzd7vcysx.jpeg?q=70
HP Intel Core i5 11th Gen,4.3,504,30,₹52990,₹56903,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/f/a/8/-original-imagp7pf86vm9mmj.jpeg?q=70
APPLE 2022 MacBook Pro M2,4.6,54,3,₹119990,₹129900,Apple M2 Processor,8 GB Unified Memory RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/z/z/o/-original-imagfdeu9rmugapt.jpeg?q=70
HP 14s Intel Core i5 12th Gen,4.1,1465,118,₹59990,₹75191,Intel Core i5 Processor (12th Gen),16 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/e/6/0/-original-imagp7pgftd3zehz.jpeg?q=70
